ID	A-coref	B-coref
0	TRUE	FALSE
0-control	FALSE	TRUE
0-swap-1	TRUE	FALSE
0-swap-2	TRUE	FALSE
2	FALSE	TRUE
2-control	FALSE	TRUE
2-swap-1	FALSE	TRUE
2-swap-2	FALSE	TRUE
3	FALSE	TRUE
3-control	FALSE	TRUE
3-swap-1	FALSE	TRUE
3-swap-2	FALSE	TRUE
6	FALSE	TRUE
6-control	FALSE	TRUE
6-swap-1	FALSE	TRUE
6-swap-2	FALSE	TRUE
7	FALSE	FALSE
7-control	FALSE	FALSE
7-swap-1	FALSE	FALSE
7-swap-2	FALSE	FALSE
12	TRUE	FALSE
12-control	TRUE	FALSE
12-swap-1	TRUE	FALSE
12-swap-2	TRUE	FALSE
13	TRUE	FALSE
13-control	TRUE	FALSE
13-swap-1	TRUE	FALSE
13-swap-2	TRUE	FALSE
14	TRUE	FALSE
14-control	TRUE	FALSE
14-swap-1	TRUE	FALSE
14-swap-2	TRUE	FALSE
21	FALSE	FALSE
21-control	FALSE	FALSE
21-swap-1	FALSE	FALSE
21-swap-2	FALSE	FALSE
25	TRUE	FALSE
25-control	TRUE	FALSE
25-swap-1	TRUE	FALSE
25-swap-2	TRUE	FALSE
28	TRUE	FALSE
28-control	TRUE	FALSE
28-swap-1	TRUE	FALSE
28-swap-2	TRUE	FALSE
31	FALSE	TRUE
31-control	FALSE	TRUE
31-swap-1	FALSE	TRUE
31-swap-2	FALSE	TRUE
33	TRUE	FALSE
33-control	TRUE	FALSE
33-swap-1	TRUE	FALSE
33-swap-2	TRUE	FALSE
34	FALSE	FALSE
34-control	FALSE	FALSE
34-swap-1	FALSE	FALSE
34-swap-2	FALSE	FALSE
35	FALSE	FALSE
35-control	FALSE	FALSE
35-swap-1	FALSE	FALSE
35-swap-2	FALSE	FALSE
36	FALSE	FALSE
36-control	FALSE	TRUE
36-swap-1	FALSE	TRUE
36-swap-2	FALSE	TRUE
40	FALSE	TRUE
40-control	FALSE	TRUE
40-swap-1	FALSE	TRUE
40-swap-2	FALSE	TRUE
41	FALSE	TRUE
41-control	FALSE	TRUE
41-swap-1	FALSE	TRUE
41-swap-2	FALSE	TRUE
44	TRUE	FALSE
44-control	TRUE	FALSE
44-swap-1	TRUE	FALSE
44-swap-2	TRUE	FALSE
45	FALSE	TRUE
45-control	FALSE	TRUE
45-swap-1	FALSE	TRUE
45-swap-2	FALSE	TRUE
48	TRUE	FALSE
48-control	TRUE	FALSE
48-swap-1	TRUE	FALSE
48-swap-2	TRUE	FALSE
49	TRUE	FALSE
49-control	TRUE	FALSE
49-swap-1	TRUE	FALSE
49-swap-2	TRUE	FALSE
51	TRUE	FALSE
51-control	TRUE	FALSE
51-swap-1	TRUE	FALSE
51-swap-2	TRUE	FALSE
58	TRUE	FALSE
58-control	TRUE	FALSE
58-swap-1	TRUE	FALSE
58-swap-2	TRUE	FALSE
62	TRUE	FALSE
62-control	TRUE	FALSE
62-swap-1	TRUE	FALSE
62-swap-2	TRUE	FALSE
64	FALSE	TRUE
64-control	FALSE	TRUE
64-swap-1	FALSE	TRUE
64-swap-2	FALSE	TRUE
65	FALSE	FALSE
65-control	FALSE	FALSE
65-swap-1	FALSE	FALSE
65-swap-2	FALSE	FALSE
68	FALSE	FALSE
68-control	FALSE	FALSE
68-swap-1	FALSE	FALSE
68-swap-2	FALSE	FALSE
83	FALSE	TRUE
83-control	FALSE	TRUE
83-swap-1	FALSE	TRUE
83-swap-2	FALSE	TRUE
85	FALSE	TRUE
85-control	FALSE	TRUE
85-swap-1	FALSE	TRUE
85-swap-2	FALSE	TRUE
91	TRUE	FALSE
91-control	TRUE	FALSE
91-swap-1	TRUE	FALSE
91-swap-2	TRUE	FALSE
92	FALSE	FALSE
92-control	TRUE	FALSE
92-swap-1	TRUE	FALSE
92-swap-2	TRUE	FALSE
93	FALSE	FALSE
93-control	FALSE	FALSE
93-swap-1	FALSE	FALSE
93-swap-2	FALSE	FALSE
103	FALSE	TRUE
103-control	FALSE	TRUE
103-swap-1	FALSE	TRUE
103-swap-2	FALSE	TRUE
105	FALSE	FALSE
105-control	FALSE	FALSE
105-swap-1	FALSE	TRUE
105-swap-2	FALSE	TRUE
116	TRUE	FALSE
116-control	TRUE	FALSE
116-swap-1	TRUE	FALSE
116-swap-2	TRUE	FALSE
117	TRUE	FALSE
117-control	TRUE	FALSE
117-swap-1	TRUE	FALSE
117-swap-2	TRUE	FALSE
172	FALSE	FALSE
172-control	FALSE	FALSE
172-swap-1	FALSE	FALSE
172-swap-2	FALSE	FALSE
173	FALSE	TRUE
173-control	FALSE	TRUE
173-swap-1	FALSE	TRUE
173-swap-2	FALSE	TRUE
176	FALSE	TRUE
176-control	FALSE	TRUE
176-swap-1	FALSE	TRUE
176-swap-2	FALSE	TRUE
182	FALSE	TRUE
182-control	FALSE	TRUE
182-swap-1	FALSE	TRUE
182-swap-2	FALSE	TRUE
187	FALSE	TRUE
187-control	FALSE	TRUE
187-swap-1	FALSE	TRUE
187-swap-2	FALSE	TRUE
189	FALSE	FALSE
189-control	FALSE	FALSE
189-swap-1	FALSE	FALSE
189-swap-2	FALSE	FALSE
190	TRUE	FALSE
190-control	TRUE	FALSE
190-swap-1	TRUE	FALSE
190-swap-2	TRUE	FALSE
205	FALSE	TRUE
205-control	FALSE	TRUE
205-swap-1	FALSE	TRUE
205-swap-2	FALSE	TRUE
218	TRUE	FALSE
218-control	TRUE	FALSE
218-swap-1	TRUE	FALSE
218-swap-2	TRUE	FALSE
222	TRUE	FALSE
222-control	TRUE	FALSE
222-swap-1	TRUE	FALSE
222-swap-2	TRUE	FALSE
223	FALSE	TRUE
223-control	TRUE	TRUE
223-swap-1	FALSE	TRUE
223-swap-2	FALSE	TRUE
224	FALSE	TRUE
224-control	FALSE	TRUE
224-swap-1	FALSE	TRUE
224-swap-2	FALSE	TRUE
226	TRUE	TRUE
226-control	TRUE	FALSE
226-swap-1	TRUE	FALSE
226-swap-2	TRUE	FALSE
227	TRUE	FALSE
227-control	TRUE	FALSE
227-swap-1	TRUE	FALSE
227-swap-2	TRUE	FALSE
228	TRUE	FALSE
228-control	TRUE	FALSE
228-swap-1	TRUE	FALSE
228-swap-2	TRUE	FALSE
241	FALSE	TRUE
241-control	TRUE	TRUE
241-swap-1	TRUE	TRUE
241-swap-2	FALSE	TRUE
242	TRUE	FALSE
242-control	TRUE	FALSE
242-swap-1	TRUE	FALSE
242-swap-2	TRUE	FALSE
